Lat,Long,Month,Day,Year,"Chlorophyll a, total",Divinyl chlorophyll a,Chlorophyll b,19-Hexanoyloxyfucoxanthin,19-Butanoyloxyfucoxanthin,Fucoxanthin,Peridinin,Alloxanthin,Zeaxanthin
38.8867,-75.0536,7,6,2006,16.7659,0.0001,0.7877,0.1143,0.0649,3.4039,3.9112,0.4423,0.3071
38.8867,-75.0536,7,6,2006,17.0215,0.0001,0.7962,0.1152,0.066,3.4578,3.9781,0.4258,0.3064
48.97771,-9.2501,6,4,1999,0.348,0,0,0.09129,0.02425,0.05702,0.01932,0.02579,0
-31.9,-91.37,11,29,2004,0.06915,0.007921769,0.004025656,0.032839172,0.007287891,0.003680074,0.002990657,0,0.018929056
40.499,-20.666,4,9,2001,1.02196,0,NaN,0.610584741,0.0920254,0.08258812,0.011737653,0.008878289,0.027553925
42.5,-17.332,3,30,2001,0.60954,0,NaN,0.298883154,0.05730376,0.0732305,0.00921166,0.007477532,0.022913792
44.501,-18.664,3,28,2001,0.56836,0,NaN,0.17059077,0.05241996,0.05762217,0.01531597,0.009217317,0.05394108
44,-16.664,3,26,2001,0.51057,0,NaN,0.14375889,0.038874941,0.03420541,0.009639725,0.004715649,0.100611704
-66.89,-68.927,1,19,2006,1.764,NaN,0.0074,0.0543,0.0621,1.4804,0.0418,0.0053,0.0061
-66.89,-68.927,1,19,2006,3.4706,NaN,0.0142,0.1193,0.1236,2.9439,0.0833,0.0096,0.009
-32.68,-84.07,12,2,2004,0.12876,0,0.008554471,0.068987407,0.011772278,0.012179462,0.008151924,0,0.00765121
42.001,-18.667,2,17,2001,0.6319,0.014074992,NaN,0.19960833,0.07904429,0.03663973,0.014021444,0.016904194,0.06158357
-64.481,-65.989,1,10,2006,1.9738,NaN,0.0206,0.0384,0.1133,1.0914,0.133,0.0141,0.0034
41.998,-19.999,4,6,2001,0.45697,0,NaN,0.197495045,0.037482045,0.01735609,0.006139461,0.003045173,0.006969551
43.415,7.86,9,29,1999,0.11174,0,NaN,0.02956703,0.01046945,0.00802326,0,0,0.041810138
42.599,-20.4,9,11,2001,0.09567,0.042376789,NaN,0.014237135,0.003618637,0,0.00322543,0,0.049618145
-30.79,-95.43,11,24,2004,0.05699,0.010154178,0.003465223,0.016076914,0.004471483,0.001739862,0.009615165,0,0.022034307
-31.87,-91.42,11,28,2004,0.07176,0.009210212,0.004573098,0.030782655,0.008168856,0.003916183,0.003141003,0,0.021007684
-65.368,-69.503,1,16,2006,0.6527,NaN,0,0.0974,0.0668,0.337,0.0292,0.0112,0
-66.635,-69.555,1,19,2001,0.45773,NaN,0.108570274,0.152437499,0.153047151,0.363193962,NaN,0.047964437,0.013708324
-67.235,-71.22,1,20,2001,0.57882,NaN,0.03054973,0.20718238,0.490047661,0.93683657,NaN,0.028211946,0.00942923
-76.5025,174.0042,12,10,1997,0.9234,NaN,0.0031,0.3879,0,0.3412,0,0.04,0
-76.5027,174.018,11,30,1997,1.7727,NaN,0.0842,0.7637,0.0134,0.4942,0.0146,0.0349,0
22.8,-158,3,8,1991,0.072,NaN,0.004,0.006,0.004,0.007,NaN,NaN,0.04
22.8,-158,3,10,1994,0.099,0.035,0.007,0.006,0.003,0.004,NaN,NaN,0.041
22.8,-158,8,22,1996,0.102,0.033,0.004,0.008,0.002,0.003,0.001,NaN,0.051
